question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__820739_250752,musique,3.196210699999938,0.0,0.0,0.0,0.0
2hop__21104_16254,musique,13.628560799999832,0.0,0.0,0.0,0.0
4hop1__726391_153080_33952_34053,musique,3.912017000002379,0.0,0.0,0.0,0.0
2hop__374767_152023,musique,6.079387599998881,0.0,0.0,0.0,0.0
4hop3__426860_88460_30152_20999,musique,6.825385500000266,0.0,0.0,0.0,0.0
3hop1__79462_91850_685675,musique,4.1844056000009004,0.0,0.0,0.0,0.0
2hop__289517_139339,musique,4.094854099999793,0.0,0.0,0.0,0.0
4hop1__129721_32392_823060_610794,musique,6.712919199999305,0.0,0.0,0.0,0.0
2hop__142842_68489,musique,3.4658159999999043,0.0,0.0,0.0,0.0
2hop__80546_75184,musique,9.506947499998205,0.0,0.0,0.0,0.0
2hop__323534_810083,musique,3.5501999000007345,0.0,0.0,0.0,0.0
2hop__829474_123956,musique,13.542464099999052,0.0,0.0,0.0,0.0
4hop1__94201_642284_131926_90707,musique,2.9567846999998437,0.0,0.0,0.0,0.0
4hop1__629520_49925_13759_736921,musique,13.355821499997546,0.0,0.0,0.0,0.0
3hop1__540585_568433_47686,musique,9.691246799997316,0.0,0.0,0.0,0.0
2hop__56307_604644,musique,4.075173300003371,0.0,0.0,0.0,0.0
2hop__507528_139339,musique,6.792946199999278,0.0,0.0,0.0,0.0
2hop__44259_747874,musique,5.374518200002058,0.0,0.0,0.0,0.0
2hop__428940_135373,musique,8.180026199999702,0.0,0.0,0.0,0.0
3hop1__147225_30587_83479,musique,9.279845599998225,0.0,0.0,0.0,0.0
2hop__642686_7292,musique,7.069770800000697,0.0,0.0,0.0,0.0
3hop1__107540_720914_27537,musique,6.227773400001752,0.0,0.0,0.0,0.0
3hop1__161433_33952_33939,musique,3.63000269999975,0.0,0.0,0.0,0.0
2hop__71871_494136,musique,8.583897000000434,0.0,0.0,0.0,0.0
4hop1__310029_153080_33897_81096,musique,8.741134500000044,0.0,0.0,0.0,0.0
2hop__620853_22458,musique,6.595411899997998,0.0,0.0,0.0,0.0
2hop__865828_377862,musique,4.324342299998534,0.0,0.0,0.0,0.0
4hop3__630723_88460_30152_20999,musique,4.6329488000010315,0.0,0.0,0.0,0.0
4hop3__719125_132409_371500_35031,musique,3.3380892999994103,0.0,0.0,0.0,0.0
4hop1__105688_17130_70784_79935,musique,11.923490299999685,0.0,0.0,0.0,0.0
3hop1__376309_160713_77246,musique,18.924897199998668,0.0,0.0,0.0,0.0
4hop1__525129_315334_131926_87157,musique,3.927192000002833,0.0,0.0,0.0,0.0
3hop1__140554_2053_52946,musique,9.119859799997357,0.0,0.0,0.0,0.0
3hop1__347858_503371_21711,musique,13.916326299997309,0.0,0.0,0.0,0.0
2hop__709357_136043,musique,3.046638499999972,0.0,0.0,0.0,0.0
3hop1__516535_834494_34109,musique,7.493287900000723,0.0,0.0,0.0,0.0
3hop1__639955_834494_34109,musique,3.8960630999972636,0.0,0.0,0.0,0.0
3hop1__786067_228453_86925,musique,7.599772600002325,0.0,0.0,0.0,0.0
3hop1__506062_792411_51423,musique,5.50056819999736,0.0,0.0,0.0,0.0
4hop1__60000_59747_211319_557671,musique,3.3922673000015493,0.0,0.0,0.0,0.0
3hop1__17192_78396_54865,musique,6.539495299999544,0.0,0.0,0.0,0.0
3hop2__36852_326964_7713,musique,3.617740400000912,0.0,0.0,0.0,0.0
2hop__179149_396277,musique,11.297354299997096,0.0,0.0,0.0,0.0
2hop__145203_34088,musique,8.76065109999763,0.0,0.0,0.0,0.0
3hop1__295815_40769_64047,musique,8.585230299999239,0.0,0.0,0.0,0.0
3hop1__747772_514761_594810,musique,3.3210528000017803,0.0,0.0,0.0,0.0
4hop3__439878_88460_30152_20999,musique,6.417260999998689,0.0,0.0,0.0,0.0
2hop__35136_35117,musique,3.17764950000128,0.0,0.0,0.0,0.0
3hop1__559908_42197_18397,musique,4771.5771085000015,0.0,0.0,0.0,0.0
4hop1__105401_17130_70784_61381,musique,16.73606799999834,0.0,0.0,0.0,0.0
2hop__157376_643670,musique,6.801685599999473,0.0,0.0,0.0,0.0
3hop1__823336_228453_86925,musique,2.984951099999307,0.0,0.0,0.0,0.0
2hop__59612_42352,musique,11.610750600000756,0.0,0.0,0.0,0.0
3hop1__768500_730460_70315,musique,7.811484000001656,0.0,0.0,0.0,0.0
3hop1__127821_157828_162309,musique,8.971025500002725,0.0,0.0,0.0,0.0
4hop1__15567_59747_211319_557671,musique,7.480387499999779,0.0,0.0,0.0,0.0
2hop__96096_78606,musique,5.847851800001081,0.0,0.0,0.0,0.0
4hop1__58323_375563_161848_61344,musique,3.115871200003312,0.0,0.0,0.0,0.0
2hop__776637_87295,musique,8.03527799999938,0.0,0.0,0.0,0.0
4hop1__752321_153080_159767_81096,musique,5.037570199998299,0.0,0.0,0.0,0.0
3hop1__161507_160713_77246,musique,18.082980000002863,0.0,0.0,0.0,0.0
2hop__84937_21969,musique,3.88538250000056,0.0,0.0,0.0,0.0
